Id,SalePrice
1461,175310.2054969067
1462,184378.15267734666
1463,198027.96457055424
1464,207590.8536841507
1465,192021.25721435537
1466,189507.7983755957
1467,181796.5238513739
1468,180144.03574464328
1469,179810.25088486273
1470,164824.553018672
1471,204258.30088654585
1472,149771.58138165055
1473,160164.36804831724
1474,174653.1941315303
1475,157244.05194889722
1476,238801.5724975654
1477,220614.01741288547
1478,233625.23805436876
1479,228321.73881627354
1480,238161.66775354385
1481,228299.8836582799
1482,201207.33183090168
1483,190722.22825025665
1484,207461.00860038216
1485,195536.62195321947
1486,194843.9869955275
1487,242599.36907651275
1488,204199.20116288547
1489,195628.5760080033
1490,203903.6296505119
1491,197069.8254714667
1492,146260.50092912995
1493,188680.45639533334
1494,228564.37059376106
1495,218585.79569399415
1496,214357.68013171494
1497,190046.02178588274
1498,183846.06004697888
1499,187783.98403284635
1500,179572.43149121443
1501,189400.91361840745
1502,186079.22306793407
1503,242107.94649575
1504,209370.37796768342
1505,198480.64395672124
1506,170036.41237120927
1507,215694.34753554247
1508,195887.29597667497
1509,162724.24386313203
1510,157237.6395392348
1511,168354.83063750045
1512,169621.521228306
1513,156041.85024502702
1514,162765.6475740065
1515,172210.25206134506
1516,164814.434841968
1517,182423.94024282007
1518,158389.77517547813
1519,203060.32778897867
1520,157150.35087256812
1521,162174.3060240833
1522,178205.02500211544
1523,147862.15958701837
1524,143773.9516635734
1525,151897.65857302508
1526,154137.67885080283
1527,147524.09552114067
1528,148219.24349733116
1529,165571.90339770037
1530,165809.8844223517
1531,170865.48447200513
1532,142119.22144172012
1533,150939.4958833194
1534,150433.232415582
1535,163616.7356469856
1536,157074.7089410541
1537,140865.0001802122
1538,152296.03542055612
1539,188219.42427535725
1540,149564.38228641247
1541,157403.29066832687
1542,157189.88785591704
1543,162347.63274742456
1544,141618.59356346875
1545,144828.41426789397
1546,156246.26737106853
1547,153623.27666524117
1548,152906.80357308875
1549,159841.42177655193
1550,156438.98735447403
1551,156446.21236529652
1552,166440.28588097444
1553,165536.3356086906
1554,156849.31783493803
1555,174673.60870164435
1556,146483.071405962
1557,131385.13951152068
1558,156360.3192000943
1559,140724.51130913978
1560,166921.6644155611
1561,151285.8526536768
1562,161906.88353201977
1563,152255.4432955525
1564,168088.90653875083
1565,180817.81781446876
1566,180636.17658374325
1567,148169.1140957966
1568,215072.28836780126
1569,154021.9855177368
